0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,3,6,1,1,1,3,1,1,1,1,1,3,0,0,1,1,1,1,1,1,1,1,1,1,8,1,0,
0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,
0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,
0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,
0,3,1,1,1,1,3,0,0,3,3,3,3,1,1,3,3,3,3,0,0,1,1,1,1,1,1,0,
0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0,0,0,0,1,0,
0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0,0,0,0,1,0,
0,1,3,3,3,3,1,1,1,3,3,3,3,0,0,3,3,3,3,3,1,1,1,1,1,1,1,0,
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,
0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
0,0,0,0,0,1,0,0,1,1,3,3,3,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,
1,3,3,3,3,3,1,1,3,0,0,0,3,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,
0,3,0,0,0,1,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,1,0,0,0,1,0,
0,3,0,0,0,1,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,1,0,0,0,1,0,
0,3,3,3,3,3,1,1,3,1,1,1,3,1,1,1,3,3,3,3,1,1,1,1,1,1,1,0,
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,
0,1,3,3,3,3,3,3,1,1,1,1,1,0,0,1,1,3,1,1,1,1,1,1,1,1,1,0,
0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,
0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,
0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,
0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,
0,3,9,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,7,1,0,
0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,
0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,
0,1,3,3,3,3,3,3,1,1,1,1,3,0,0,1,1,1,1,3,1,1,1,1,1,1,1,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
